id,occ_title,a_mean,is_selected,last_updated
353,"Clinical Laboratory Technologists and Technicians","56,910",0,NULL
354,Archivists,"61,880",0,NULL
355,"Disc Jockeys, Except Radio",*,0,NULL
356,"Physician Assistants","119,460",0,NULL
357,Prosthodontists,"143,730",0,NULL
358,"Designers, All Other","73,480",0,NULL
359,"Nurse Anesthetists","202,470",0,NULL
360,Tutors,"41,780",0,NULL
361,"Emergency Medical Technicians and Paramedics","41,480",0,NULL
362,Designers,"53,160",0,NULL
363,"Nurse Midwives","114,210",0,NULL
364,"Nurse Practitioners","118,040",0,NULL
365,"Dentists, All Other Specialists","179,400",0,NULL
366,"Broadcast Announcers and Radio Disc Jockeys","56,110",0,NULL
367,"Commercial and Industrial Designers","79,680",0,NULL
368,"Emergency Medical Technicians","36,690",0,NULL
369,"News Analysts, Reporters, and Journalists","63,230",0,NULL
370,"Dietitians and Nutritionists","65,620",0,NULL
371,"Fashion Designers","83,650",0,NULL
372,"Pharmacy Technicians","37,970",0,NULL
373,"Nurse Practitioners","118,040",0,NULL
374,"Dietitians and Nutritionists","65,620",0,NULL
375,Paramedics,"49,500",0,NULL
376,"Miscellaneous Teachers and Instructors","62,200",0,NULL
377,"Floral Designers","32,100",0,NULL
378,"Psychiatric Technicians","38,000",0,NULL
379,"Broadcast Announcers and Radio Disc Jockeys","56,110",0,NULL
380,Optometrists,"125,440",0,NULL
381,"Teachers and Instructors, All Other","62,200",0,NULL
382,"Public Relations Specialists","73,250",0,NULL
383,Audiologists,"86,050",0,NULL
384,"Graphic Designers","59,970",0,NULL
385,"Health Practitioner Support Technologists and Technicians","40,170",0,NULL
386,Optometrists,"125,440",0,NULL
387,"Librarians, Curators, and Archivists","55,520",0,NULL
388,"Surgical Technologists","53,590",0,NULL
389,Audiologists,"86,050",0,NULL
390,"Interior Designers","62,570",0,NULL
391,"Nurse Midwives","114,210",0,NULL
392,"Public Relations Specialists","73,250",0,NULL
393,"Dietetic Technicians","34,160",0,NULL
394,"Veterinary Technologists and Technicians","38,250",0,NULL
395,"Ophthalmic Medical Technicians","41,120",0,NULL
396,Physicians,"252,480",0,NULL
397,"Writers and Editors","78,950",0,NULL
398,"Media and Communication Equipment Workers","58,970",0,NULL
399,Anesthesiologists,"331,190",0,NULL
400,"Physicians, Pathologists","267,180",0,NULL
401,"First-Line Supervisors of Firefighting and Prevention Workers","83,270",0,NULL
402,"Broadcast, Sound, and Lighting Technicians","55,750",0,NULL
403,Psychiatrists,"249,760",0,NULL
404,"Waiters and Waitresses","29,010",0,NULL
405,"Miscellaneous First-Line Supervisors, Protective Service Workers","57,730",0,NULL
406,"Waiters and Waitresses","29,010",0,NULL
407,Editors,"76,400",0,NULL
408,"First-Line Supervisors of Security Workers","55,080",0,NULL
409,Cardiologists,"353,970",0,NULL
410,"Food Servers, Nonrestaurant","29,500",0,NULL
411,"First-Line Supervisors of Protective Service Workers, All Other","63,910",0,NULL
412,"Technical Writers","81,470",0,NULL
413,"Food Servers, Nonrestaurant","29,500",0,NULL
414,Dermatologists,"302,740",0,NULL
415,"Firefighting and Prevention Workers","55,910",0,NULL
416,"Other Food Preparation and Serving Related Workers","27,170",0,NULL
417,"Emergency Medicine Physicians","310,640",0,NULL
418,Firefighters,"55,290",0,NULL
419,"Writers and Authors","81,120",0,NULL
420,"Dining Room and Cafeteria Attendants and Bartender Helpers","27,690",0,NULL
421,"Family Medicine Physicians","235,930",0,NULL
422,Firefighters,"55,290",0,NULL
423,"Dining Room and Cafeteria Attendants and Bartender Helpers","27,690",0,NULL
424,"Fire Inspectors","67,230",0,NULL
425,"General Internal Medicine Physicians","242,190",0,NULL
426,Dishwashers,"27,350",0,NULL
427,"News Analysts, Reporters and Journalists","63,230",0,NULL
428,Dishwashers,"27,350",0,NULL
429,"Miscellaneous Media and Communication Workers","59,650",0,NULL
430,"Fire Inspectors and Investigators","69,680",0,NULL
431,"Forest Fire Inspectors and Prevention Specialists","54,340",0,NULL
432,Neurologists,"267,660",0,NULL
433,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","26,000",0,NULL
434,"Interpreters and Translators","58,400",0,NULL
435,"Law Enforcement Workers","66,370",0,NULL
436,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","26,000",0,NULL
437,"Bailiffs, Correctional Officers, and Jailers","53,380",0,NULL
438,"Court Reporters and Simultaneous Captioners","65,240",0,NULL
439,"Miscellaneous Food Preparation and Serving Related Workers","28,760",0,NULL
